Monat;Strom in W/m2NGF;Warmwasser thermisch in in W/m2NGF;Waerme in W/m2NGF;Kaelte in W/m2NGF;Wind in MW;Photovoltaik in kW;Stunde;Datum
4;1,2400;0,55000;0;0;318;0;2236;04.04.2021
4;1,3600;1,10000;0;0;206;0;2237;04.04.2021
4;2,1000;1,64000;0;0;186;0,6;2238;04.04.2021
4;2,6100;2,81000;0;0;169;29,7;2239;04.04.2021
4;2,7200;2,81000;0;0;193;106;2240;04.04.2021
4;5,5400;2,53000;0;0;213;160,2;2241;04.04.2021
4;6,4800;2,05000;0;0;294;217,3;2242;04.04.2021
4;6,4900;2,08000;0;0;489;261,4;2243;04.04.2021
4;6,7200;2,37000;0;0;871;287,6;2244;04.04.2021
4;6,6700;2,91000;0;0;966;292,1;2245;04.04.2021
4;6,4000;2,05000;0;0;845;268,8;2246;04.04.2021
4;6,2200;1,49000;0;0;814;227;2247;04.04.2021
4;6,1100;1,18000;0;0;909;179,5;2248;04.04.2021
4;6,2600;2,05000;0;0;829;115,3;2249;04.04.2021
4;7,0000;2,32000;0;0;803;53,1;2250;04.04.2021
4;6,4800;1,99000;0;0;775;0,3;2251;04.04.2021
4;2,9800;1,41000;0;0;677;0;2252;04.04.2021
4;2,8100;1,10000;0;0;584;0;2253;04.04.2021
4;2,5300;0,55000;0;0;455;0;2254;04.04.2021
4;2,0300;0,55000;0;0;273;0;2255;04.04.2021
4;1,5600;0,27000;0;0;144;0;2256;04.04.2021
4;1,3100;0,27000;0;0;47;0;2257;05.04.2021
4;1,2400;0,27000;0;0;64;0;2258;05.04.2021
4;1,2300;0,55000;0;0;110;0;2259;05.04.2021
4;1,2400;0,55000;0;0;127;0;2260;05.04.2021
4;1,3600;1,10000;0;0;94;0;2261;05.04.2021
4;2,1000;1,64000;0;0;93;0,9;2262;05.04.2021
4;2,6100;2,81000;0;0;99;32,7;2263;05.04.2021
4;2,7200;2,81000;0;0;81;90;2264;05.04.2021
4;5,5400;2,53000;0;0;70;140,2;2265;05.04.2021
4;6,4800;2,05000;0;0;69;187,1;2266;05.04.2021
4;6,4900;1,77000;0;0;71;220;2267;05.04.2021
4;6,7200;2,37000;0;0;81;240,9;2268;05.04.2021
4;6,6700;2,91000;0;0;157;244,6;2269;05.04.2021
4;6,4000;2,05000;0;0;259;209,9;2270;05.04.2021
4;6,2200;1,49000;0;0;354;163,4;2271;05.04.2021
4;6,1100;1,49000;0;0;536;125,8;2272;05.04.2021
4;6,2600;2,05000;0;0;627;82,3;2273;05.04.2021
4;5,1000;2,32000;0;0;566;24,5;2274;05.04.2021
4;6,4800;1,99000;0;0;579;0,3;2275;05.04.2021
4;2,9800;1,41000;0;0;688;0;2276;05.04.2021
4;2,8100;1,10000;0;0;745;0;2277;05.04.2021
4;2,5300;0,55000;0;0;803;0;2278;05.04.2021
4;2,0300;0,55000;0;0;781;0;2279;05.04.2021
4;1,5600;0,27000;0;0;756;0;2280;05.04.2021
4;1,3100;0,27000;0;0;664;0;2281;06.04.2021
4;1,2400;0,27000;0;0;626;0;2282;06.04.2021
4;1,2300;0,55000;0;0;511;0;2283;06.04.2021
4;1,2400;0,55000;0;0;428;0;2284;06.04.2021
4;1,3600;1,10000;0;0;458;0;2285;06.04.2021
4;2,1000;1,64000;0;0;364;0,3;2286;06.04.2021
4;2,6100;2,81000;0;0;350;17,8;2287;06.04.2021
4;2,7200;2,81000;0;0;167;45,2;2288;06.04.2021
4;5,5400;2,53000;0;0;92;80,2;2289;06.04.2021
4;6,4800;2,05000;0;0;139;100,2;2290;06.04.2021
4;6,4900;1,77000;0;0;125;118,4;2291;06.04.2021
4;6,7200;2,37000;0;0;161;132,6;2292;06.04.2021
4;6,6700;2,91000;0;0;179;125,1;2293;06.04.2021
4;6,4000;2,05000;0;0;201;113,7;2294;06.04.2021
4;6,2200;1,49000;0;0;174;93,9;2295;06.04.2021
4;6,1100;1,49000;0;0;186;66,5;2296;06.04.2021
4;6,2600;2,05000;0;0;191;40,7;2297;06.04.2021
4;5,1000;2,32000;0;0;166;16;2298;06.04.2021
4;6,4800;1,99000;0;0;164;0,3;2299;06.04.2021
4;2,9800;1,41000;0;0;208;0;2300;06.04.2021
4;2,8100;1,10000;0;0;253;0;2301;06.04.2021
4;2,5300;0,55000;0;0;332;0;2302;06.04.2021
4;2,0300;0,55000;0;0;454;0;2303;06.04.2021
4;1,5600;0,27000;0;0;768;0;2304;06.04.2021
4;1,3100;0,27000;0;0;1096;0;2305;07.04.2021
4;1,2400;0,27000;0;0;876;0;2306;07.04.2021
4;1,2300;0,27000;0;0;850;0;2307;07.04.2021
4;1,2400;0,27000;0;0;954;0;2308;07.04.2021
4;1,3600;0,27000;0;0;953;0;2309;07.04.2021
4;1,9300;0,55000;0;0;974;0,6;2310;07.04.2021
4;2,4400;1,10000;0;0;1116;26,4;2311;07.04.2021
4;2,5500;1,64000;0;0;1037;67,9;2312;07.04.2021
4;2,5300;1,64000;0;0;1040;109,9;2313;07.04.2021
4;2,4700;1,68000;0;0;1297;140,7;2314;07.04.2021
4;2,4900;0,83000;0;0;1831;154,3;2315;07.04.2021
4;2,7200;1,37000;0;0;2181;166,8;2316;07.04.2021
4;2,6700;1,64000;0;0;2283;165,9;2317;07.04.2021
4;2,4000;1,64000;0;0;2435;149,5;2318;07.04.2021
4;2,2100;1,37000;0;0;2473;124,8;2319;07.04.2021
4;2,1100;1,35000;0;0;2355;90,6;2320;07.04.2021
4;2,2500;2,43000;0;0;2223;58,9;2321;07.04.2021
4;2,6500;1,92000;0;0;2083;24,8;2322;07.04.2021
4;3,0300;1,10000;0;0;2043;0,3;2323;07.04.2021
4;2,9800;1,10000;0;0;2227;0;2324;07.04.2021
4;2,8100;0,55000;0;0;2260;0;2325;07.04.2021
4;2,5300;0,55000;0;0;2275;0;2326;07.04.2021
4;2,0300;0,55000;0;0;2265;0;2327;07.04.2021
4;1,5600;0,27000;0;0;2039;0;2328;07.04.2021
4;1,3100;0,27000;0;0;1681;0;2329;08.04.2021
4;1,2400;0,02000;0;0;1532;0;2330;08.04.2021
4;1,2300;0,27000;0;0;1559;0;2331;08.04.2021
4;1,2400;0,52000;0;0;1805;0;2332;08.04.2021
4;1,3600;0,27000;0;0;1794;0;2333;08.04.2021
4;1,9300;0,27000;0;0;1679;1,3;2334;08.04.2021
4;2,4400;0,02000;0;0;1518;41;2335;08.04.2021
4;2,5500;0,86000;0;0;1126;130,3;2336;08.04.2021
4;2,5300;0,83000;0;0;1157;192,9;2337;08.04.2021
4;2,4700;1,64000;0;0;1493;255,6;2338;08.04.2021
4;2,4900;1,64000;0;0;1402;314;2339;08.04.2021
4;2,7200;2,19000;0;0;1301;342,4;2340;08.04.2021
4;2,6700;2,19000;0;0;1350;358;2341;08.04.2021
4;2,4000;1,92000;0;0;1439;311,2;2342;08.04.2021
4;2,2100;1,37000;0;0;1397;277,4;2343;08.04.2021
4;2,1100;1,10000;0;0;1291;207,4;2344;08.04.2021
4;2,2500;1,37000;0;0;1145;157,4;2345;08.04.2021
4;2,6500;1,33000;0;0;998;79,1;2346;08.04.2021
4;3,0300;1,64000;0;0;884;0,9;2347;08.04.2021
4;2,9800;1,10000;0;0;905;0;2348;08.04.2021
4;2,8100;1,10000;0;0;935;0;2349;08.04.2021
4;2,5300;0,55000;0;0;1041;0;2350;08.04.2021
4;2,0300;0,55000;0;0;1220;0;2351;08.04.2021
4;1,5600;0,27000;0;0;1134;0;2352;08.04.2021
4;1,4100;0,27000;0;0;1334;0;2353;09.04.2021
4;1,2700;0,27000;0;0;1380;0;2354;09.04.2021
4;1,2400;0,55000;0;0;1073;0;2355;09.04.2021
4;1,2300;0,55000;0;0;764;0;2356;09.04.2021
4;1,2500;1,10000;0;0;712;0;2357;09.04.2021
4;1,6100;1,64000;0;0;796;3,5;2358;09.04.2021
4;2,1000;2,81000;0;0;753;33,4;2359;09.04.2021
4;2,6100;2,81000;0;0;540;67,8;2360;09.04.2021
4;5,7500;2,53000;0;0;375;154,3;2361;09.04.2021
4;6,9200;2,05000;0;0;684;239,1;2362;09.04.2021
4;7,0400;2,08000;0;0;1053;387,6;2363;09.04.2021
4;7,1700;2,06000;0;0;1232;257,2;2364;09.04.2021
4;7,1100;3,22000;0;0;1209;377,5;2365;09.04.2021
4;6,8900;1,74000;0;0;1220;105,5;2366;09.04.2021
4;6,7100;1,49000;0;0;1121;48,9;2367;09.04.2021
4;12,6500;1,49000;0;0;1022;15;2368;09.04.2021
4;12,8300;2,05000;0;0;957;22,5;2369;09.04.2021
4;5,6400;2,32000;0;0;873;3,5;2370;09.04.2021
4;6,8400;1,99000;0;0;872;0,3;2371;09.04.2021
4;3,1500;1,41000;0;0;987;0;2372;09.04.2021
4;2,6900;1,10000;0;0;1056;0;2373;09.04.2021
4;2,5700;0,55000;0;0;1131;0;2374;09.04.2021
4;2,2600;0,55000;0;0;1224;0;2375;09.04.2021
4;1,6500;0,27000;0;0;1348;0;2376;09.04.2021
4;1,8000;0,27000;0;0;1381;0;2377;10.04.2021
4;1,4900;0,27000;0;0;1253;0;2378;10.04.2021
4;1,3100;0,55000;0;0;1039;0;2379;10.04.2021
4;1,2400;0,55000;0;0;673;0;2380;10.04.2021
4;1,2300;1,10000;0;0;380;0;2381;10.04.2021
4;1,4000;1,64000;0;0;194;0,6;2382;10.04.2021
4;1,4300;2,81000;0;0;76;17,7;2383;10.04.2021
4;1,7100;2,81000;0;0;47;39,8;2384;10.04.2021
4;5,2000;2,53000;0;0;28;60,3;2385;10.04.2021
4;6,8600;2,05000;0;0;20;83;2386;10.04.2021
4;7,2200;1,77000;0;0;19;96,6;2387;10.04.2021
4;7,5000;2,37000;0;0;21;106,7;2388;10.04.2021
4;7,5400;2,91000;0;0;49;103,8;2389;10.04.2021
4;6,9900;2,05000;0;0;134;95,6;2390;10.04.2021
4;6,5400;1,49000;0;0;254;81,8;2391;10.04.2021
4;6,3200;1,49000;0;0;286;61,4;2392;10.04.2021
4;6,1300;2,05000;0;0;184;39,1;2393;10.04.2021
4;6,7900;2,32000;0;0;188;15;2394;10.04.2021
4;5,9900;1,99000;0;0;367;0,3;2395;10.04.2021
4;2,8800;1,41000;0;0;563;0;2396;10.04.2021
4;2,7900;1,10000;0;0;685;0;2397;10.04.2021
4;2,6400;0,55000;0;0;812;0;2398;10.04.2021
4;2,4100;0,55000;0;0;847;0;2399;10.04.2021
4;1,5600;0,27000;0;0;815;0;2400;10.04.2021
4;1,3100;0,27000;0;0;874;0;2401;11.04.2021
4;1,2400;0,27000;0;0;900;0;2402;11.04.2021
4;1,2300;0,55000;0;0;737;0;2403;11.04.2021
4;1,2400;0,55000;0;0;928;0;2404;11.04.2021
4;1,3600;1,10000;0;0;1085;0;2405;11.04.2021
4;2,1000;1,64000;0;0;983;2,4;2406;11.04.2021
4;2,6100;2,81000;0;0;687;36,2;2407;11.04.2021
4;2,7200;2,81000;0;0;326;106,2;2408;11.04.2021
4;5,5400;2,53000;0;0;219;160,1;2409;11.04.2021
4;6,4800;2,05000;0;0;366;199,5;2410;11.04.2021
4;6,4900;2,08000;0;0;595;240,3;2411;11.04.2021
4;6,7200;2,37000;0;0;485;262,9;2412;11.04.2021
4;6,6700;2,60000;0;0;509;231,4;2413;11.04.2021
4;6,4000;2,05000;0;0;488;206;2414;11.04.2021
4;6,2200;1,49000;0;0;510;168,3;2415;11.04.2021
4;6,1100;1,49000;0;0;560;176,8;2416;11.04.2021
4;6,2600;2,05000;0;0;570;85,7;2417;11.04.2021
4;4,8400;2,32000;0;0;429;56,9;2418;11.04.2021
4;6,4800;1,99000;0;0;412;0,6;2419;11.04.2021
4;2,9800;1,41000;0;0;326;0;2420;11.04.2021
4;2,8100;1,10000;0;0;198;0;2421;11.04.2021
4;2,5300;0,55000;0;0;70;0;2422;11.04.2021
4;2,0300;0,55000;0;0;17;0;2423;11.04.2021
4;1,5600;0,27000;0;0;5;0;2424;11.04.2021
4;1,3100;0,27000;0;0;7;0;2425;12.04.2021
4;1,2400;0,27000;0;0;18;0;2426;12.04.2021
4;1,2300;0,55000;0;0;38;0;2427;12.04.2021
4;1,2400;0,55000;0;0;80;0;2428;12.04.2021
4;1,3600;1,10000;0;0;139;0;2429;12.04.2021
4;2,1000;1,64000;0;0;168;3,6;2430;12.04.2021
4;2,6100;2,81000;0;0;160;54,7;2431;12.04.2021
4;2,7200;2,81000;0;0;113;140,7;2432;12.04.2021
4;5,5400;2,53000;0;0;50;210,2;2433;12.04.2021
4;6,4800;2,36000;0;0;34;282,8;2434;12.04.2021
4;6,4900;1,77000;0;0;98;345,7;2435;12.04.2021
4;6,7200;2,37000;0;0;110;386,1;2436;12.04.2021
4;6,6700;2,91000;0;0;183;394,2;2437;12.04.2021
4;6,4000;2,05000;0;0;282;377;2438;12.04.2021
4;6,2200;1,49000;0;0;314;333;2439;12.04.2021
4;6,1100;1,49000;0;0;360;264,3;2440;12.04.2021
4;6,2600;1,74000;0;0;478;190,1;2441;12.04.2021
4;4,8400;2,32000;0;0;375;87,4;2442;12.04.2021
4;6,4800;1,99000;0;0;232;1,6;2443;12.04.2021
4;2,9800;1,41000;0;0;154;0;2444;12.04.2021
4;2,8100;1,10000;0;0;130;0;2445;12.04.2021
4;2,5300;0,55000;0;0;84;0;2446;12.04.2021
4;2,0300;0,55000;0;0;22;0;2447;12.04.2021
4;1,5600;0,27000;0;0;10;0;2448;12.04.2021
4;1,3100;0,27000;0;0;12;0;2449;13.04.2021
4;1,2400;0,27000;0;0;12;0;2450;13.04.2021
4;1,2300;0,55000;0;0;11;0;2451;13.04.2021
4;1,2400;0,55000;0;0;39;0;2452;13.04.2021
4;1,3600;1,10000;0;0;102;0;2453;13.04.2021
4;2,1000;1,64000;0;0;189;4;2454;13.04.2021
4;2,6100;2,81000;0;0;304;58,5;2455;13.04.2021
4;2,7200;3,01000;0;0;259;147,4;2456;13.04.2021
4;5,5400;2,56000;0;0;189;221,6;2457;13.04.2021
4;6,4800;2,14000;0;0;138;296;2458;13.04.2021
4;6,4900;1,77000;0;0;159;363;2459;13.04.2021
4;6,7200;2,37000;0;0;141;405,5;2460;13.04.2021
4;6,6700;2,91000;0;0;105;418,1;2461;13.04.2021
4;6,4000;2,05000;0;0;59;396,3;2462;13.04.2021
4;6,2200;1,49000;0;0;58;352,3;2463;13.04.2021
4;6,1100;1,49000;0;2,64;72;282,1;2464;13.04.2021
4;6,2600;1,74000;0;8,91;104;203,8;2465;13.04.2021
4;4,8400;2,32000;0;7,69;196;95,9;2466;13.04.2021
4;6,4800;1,99000;0;11,04;278;2,4;2467;13.04.2021
4;2,9800;1,41000;0;1,8;402;0;2468;13.04.2021
4;2,8100;1,10000;0;0,72;582;0;2469;13.04.2021
4;2,5300;0,55000;0;0;614;0;2470;13.04.2021
4;2,0300;0,55000;0;0;724;0;2471;13.04.2021
4;1,5600;0,27000;0;0;607;0;2472;13.04.2021
4;1,3100;0,27000;0;0;386;0;2473;14.04.2021
4;1,2400;0,27000;0;0;263;0;2474;14.04.2021
4;1,2300;0,27000;0;0;108;0;2475;14.04.2021
4;1,2400;0,27000;0;0;148;0;2476;14.04.2021
4;1,3600;0,27000;0;0;148;0;2477;14.04.2021
4;1,9300;0,55000;0;0;104;4,4;2478;14.04.2021
4;2,4400;1,10000;0;0;67;58,8;2479;14.04.2021
4;2,5500;1,95000;0;0;99;145;2480;14.04.2021
4;2,5300;1,64000;0;0;95;214;2481;14.04.2021
4;2,4700;1,37000;0;0;132;283,3;2482;14.04.2021
4;2,4900;0,83000;0;0;379;346,6;2483;14.04.2021
4;2,7200;1,37000;0;0;921;383,7;2484;14.04.2021
4;2,6700;1,64000;0;0;1096;385,7;2485;14.04.2021
4;2,4000;1,64000;0;0;1427;363;2486;14.04.2021
4;2,2100;1,37000;0;0;1227;316,4;2487;14.04.2021
4;2,1100;1,37000;0;0;1235;249,6;2488;14.04.2021
4;2,2500;2,47000;0;1,22;1284;176,7;2489;14.04.2021
4;2,6500;1,61000;0;2,76;1520;82,1;2490;14.04.2021
4;3,0300;1,35000;0;2,35;1675;1,6;2491;14.04.2021
4;2,9800;1,10000;0;1,62;1571;0;2492;14.04.2021
4;2,8100;0,55000;0;0,41;2150;0;2493;14.04.2021
4;2,5300;0,55000;0;0;2223;0;2494;14.04.2021
4;2,0300;0,55000;0;0;2159;0;2495;14.04.2021
4;1,5600;0,27000;0;0;2037;0;2496;14.04.2021
4;1,3100;0,27000;0;0;2055;0;2497;15.04.2021
4;1,2400;0,27000;0;0;2053;0;2498;15.04.2021
4;1,2300;0,27000;0;0;2053;0;2499;15.04.2021
4;1,2400;0,27000;0;0;2191;0;2500;15.04.2021
4;1,3600;0,27000;0;0;1875;0;2501;15.04.2021
4;1,9300;0,27000;0;0;1650;3,6;2502;15.04.2021
4;2,4400;0,27000;0;0;1657;47,3;2503;15.04.2021
4;2,5500;0,61000;0;0;1890;114,4;2504;15.04.2021
4;2,5300;0,83000;0;0;1924;169,5;2505;15.04.2021
4;2,4700;1,64000;0;0;2066;216,8;2506;15.04.2021
4;2,4900;1,64000;0;0;2349;252;2507;15.04.2021
4;2,7200;2,19000;0;0;2472;301;2508;15.04.2021
4;2,6700;2,19000;0;0;2529;279,5;2509;15.04.2021
4;2,4000;1,92000;0;0;2518;246,4;2510;15.04.2021
4;2,2100;1,37000;0;0;2477;198,8;2511;15.04.2021
4;2,1100;1,10000;0;0;2415;156,2;2512;15.04.2021
4;2,2500;1,31000;0;0;2284;86,3;2513;15.04.2021
4;2,6500;1,64000;0;0;2274;42,4;2514;15.04.2021
4;3,0300;1,64000;0;0;1796;0,6;2515;15.04.2021
4;2,9800;0,85000;0;0;1486;0;2516;15.04.2021
4;2,8100;1,10000;0;0;1419;0;2517;15.04.2021
4;2,5300;0,55000;0;0;1218;0;2518;15.04.2021
4;2,0300;0,55000;0;0;948;0;2519;15.04.2021
4;1,5600;0,27000;0;0;853;0;2520;15.04.2021
4;1,4100;0,27000;0;0;707;0;2521;16.04.2021
4;1,2700;0,27000;0;0;660;0;2522;16.04.2021
4;1,2400;0,55000;0;0;573;0;2523;16.04.2021
4;1,2300;0,55000;0;0;567;0;2524;16.04.2021
4;1,2500;1,10000;0;0;504;0;2525;16.04.2021
4;1,6100;1,64000;0;0;407;2;2526;16.04.2021
4;2,1000;2,81000;0;0;343;36,1;2527;16.04.2021
4;2,6100;2,81000;0;0;182;73,5;2528;16.04.2021
4;5,7500;2,53000;0;0;163;108,7;2529;16.04.2021
4;6,9200;2,05000;0;0;182;157,1;2530;16.04.2021
4;7,0400;1,77000;0;0;208;183,8;2531;16.04.2021
4;7,1700;2,37000;0;0;253;197,1;2532;16.04.2021
4;7,1100;2,91000;0;0;274;199,3;2533;16.04.2021
4;6,8900;2,05000;0;0;266;167,8;2534;16.04.2021
4;6,7100;1,49000;0;0;238;124,5;2535;16.04.2021
4;6,6800;1,49000;0;0;220;98,5;2536;16.04.2021
4;6,8600;2,05000;0;0;179;57,9;2537;16.04.2021
4;7,7900;2,32000;0;0;115;24,5;2538;16.04.2021
4;6,8400;1,99000;0;0;79;0,6;2539;16.04.2021
4;3,1500;1,41000;0;0;97;0;2540;16.04.2021
4;2,6900;1,10000;0;0;222;0;2541;16.04.2021
4;2,5700;0,55000;0;0;218;0;2542;16.04.2021
4;2,2600;0,55000;0;0;127;0;2543;16.04.2021
4;1,6500;0,27000;0;0;74;0;2544;16.04.2021
4;1,8000;0,27000;0;0;34;0;2545;17.04.2021
4;1,4900;0,27000;0;0;37;0;2546;17.04.2021
4;1,3100;0,55000;0;0;63;0;2547;17.04.2021
4;1,2400;0,55000;0;0;32;0;2548;17.04.2021
4;1,2300;1,10000;0;0;30;0;2549;17.04.2021
4;1,4000;1,64000;0;0;39;6;2550;17.04.2021
4;1,4300;2,81000;0;0;84;60,7;2551;17.04.2021
4;1,7100;3,12000;0;0;162;140,5;2552;17.04.2021
4;5,2000;2,52000;0;0;177;210,3;2553;17.04.2021
4;6,8600;2,06000;0;0;324;279,8;2554;17.04.2021
4;7,2200;1,77000;0;0;528;339,3;2555;17.04.2021
4;7,5000;2,37000;0;0;459;375;2556;17.04.2021
4;7,5400;2,91000;0;0;320;390,1;2557;17.04.2021
4;6,9900;2,05000;0;0;211;359,9;2558;17.04.2021
4;6,5400;1,49000;0;0;71;319,7;2559;17.04.2021
4;6,3200;1,49000;0;0;38;264,2;2560;17.04.2021
4;6,1300;1,74000;0;0;37;187,5;2561;17.04.2021
4;4,3800;2,32000;0;0;65;92,4;2562;17.04.2021
4;5,9900;1,99000;0;0;98;3,5;2563;17.04.2021
4;2,8800;1,41000;0;0;161;0;2564;17.04.2021
4;2,7900;1,10000;0;0;254;0;2565;17.04.2021
4;2,6400;0,55000;0;0;399;0;2566;17.04.2021
4;2,4100;0,55000;0;0;281;0;2567;17.04.2021
4;1,5600;0,27000;0;0;217;0;2568;17.04.2021
4;1,3100;0,27000;0;0;235;0;2569;18.04.2021
4;1,2400;0,27000;0;0;445;0;2570;18.04.2021
4;1,2300;0,55000;0;0;535;0;2571;18.04.2021
4;1,2400;0,55000;0;0;625;0;2572;18.04.2021
4;1,3600;1,10000;0;0;633;0;2573;18.04.2021
4;2,1000;1,64000;0;0;572;7,7;2574;18.04.2021
4;2,6100;2,81000;0;0;434;60,2;2575;18.04.2021
4;2,7200;2,81000;0;0;333;133;2576;18.04.2021
4;5,5400;2,53000;0;0;378;204,8;2577;18.04.2021
4;6,4800;2,36000;0;0;511;271,3;2578;18.04.2021
4;6,4900;1,77000;0;0;511;328,1;2579;18.04.2021
4;6,7200;2,37000;0;0;512;364,4;2580;18.04.2021
4;6,6700;2,91000;0;0;417;373,5;2581;18.04.2021
4;6,4000;2,05000;0;0;354;327;2582;18.04.2021
4;6,2200;1,49000;0;0;403;288,7;2583;18.04.2021
4;6,1100;1,20000;0;0;358;208,5;2584;18.04.2021
4;6,2600;2,03000;0;0;269;146,3;2585;18.04.2021
4;4,8400;2,32000;0;0;192;62,2;2586;18.04.2021
4;6,4800;1,99000;0;0;219;0,9;2587;18.04.2021
4;2,9800;1,41000;0;0;329;0;2588;18.04.2021
4;2,8100;1,10000;0;0;316;0;2589;18.04.2021
4;2,5300;0,55000;0;0;241;0;2590;18.04.2021
4;2,0300;0,55000;0;0;163;0;2591;18.04.2021
4;1,5600;0,27000;0;0;212;0;2592;18.04.2021
4;1,3100;0,27000;0;0;371;0;2593;19.04.2021
4;1,2400;0,27000;0;0;533;0;2594;19.04.2021
4;1,2300;0,55000;0;0;687;0;2595;19.04.2021
4;1,2400;0,55000;0;0;932;0;2596;19.04.2021
4;1,3600;1,10000;0;0;423;0;2597;19.04.2021
4;2,1000;1,64000;0;0;230;2,4;2598;19.04.2021
4;2,6100;2,81000;0;0;213;30,1;2599;19.04.2021
4;2,7200;2,81000;0;0;120;63;2600;19.04.2021
4;5,5400;2,53000;0;0;74;93,5;2601;19.04.2021
