model,scenario,region,variable,unit,time,value
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|TotalThermalPowerToResidence,W,2021-01-03,4992.121355697111
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|TotalThermalPowerToResidence,W,2021-01-04,4394.235600039249
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|TotalThermalPowerToResidence,W,2021-01-05,3756.0740414173897
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|TotalThermalPowerToResidence,W,2021-01-06,3059.865444783141
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|TotalThermalPowerToResidence,W,2021-01-07,2849.473926091318
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|SolarGainThroughWindows,W,2021-01-01,0.0
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|SolarGainThroughWindows,W,2021-01-02,132.72513945905035
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|SolarGainThroughWindows,W,2021-01-03,40.04500098821923
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|SolarGainThroughWindows,W,2021-01-04,0.0
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|SolarGainThroughWindows,W,2021-01-05,0.7097807965493746
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|SolarGainThroughWindows,W,2021-01-06,0.0
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|SolarGainThroughWindows,W,2021-01-07,22.33213737799505
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|InternalHeatGainsFromOccupancy,W,2021-01-01,592.8670105678016
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|InternalHeatGainsFromOccupancy,W,2021-01-02,704.6888884342484
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|InternalHeatGainsFromOccupancy,W,2021-01-03,743.0697734847363
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|InternalHeatGainsFromOccupancy,W,2021-01-04,522.4627739122295
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|InternalHeatGainsFromOccupancy,W,2021-01-05,688.1174693060317
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|InternalHeatGainsFromOccupancy,W,2021-01-06,749.1745433195005
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|InternalHeatGainsFromOccupancy,W,2021-01-07,778.5122397870161
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatLossFromTransmission,W,2021-01-01,4249.400612656753
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatLossFromTransmission,W,2021-01-02,4530.722575523193
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatLossFromTransmission,W,2021-01-03,4953.336286757815
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatLossFromTransmission,W,2021-01-04,4184.428379123843
