,model,scenario,region,variable,unit,year,value,hash,name,building_id,share_of_maximum_pv_potential,pv_azimuth,pv_tilt,pv_rooftop_capacity_in_kilowatt,pv_rooftop_generation_in_kilowatthour,building_code,norm_heating_load_in_kilowatt,conditioned_floor_area_in_m2,number_of_dwellings_per_building,lpg_households,building_postal_code,building_location,weather_try_region,weather_location
38,HiSim_household_cluster_advanced_hp_pv_battery_ems,-3343391901036329_0,06Bad Marienburg,Building gain utilisation factor according to TABULA,-,2021,0.94,-3343391901036329,BuildingPVConfig,DEA_DENW07AL0000vfNm,0.25,5.502600865536484,47.10034252334455,11.32,8458.778,DE.N.SFH.08.Gen.ReEx.001.003,11.16,317,1,['CHR51_Couple_over_65_years_II'],59955,Winterberg,6,BAD_MARIENBURG
39,HiSim_household_cluster_advanced_hp_pv_battery_ems,-3343391901036329_0,06Bad Marienburg,Specific energy transfer from transmission,kWh/m2,2021,65.52977284524185,-3343391901036329,BuildingPVConfig,DEA_DENW07AL0000vfNm,0.25,5.502600865536484,47.10034252334455,11.32,8458.778,DE.N.SFH.08.Gen.ReEx.001.003,11.16,317,1,['CHR51_Couple_over_65_years_II'],59955,Winterberg,6,BAD_MARIENBURG
40,HiSim_household_cluster_advanced_hp_pv_battery_ems,-3343391901036329_0,06Bad Marienburg,Specific energy transfer from ventilation,kWh/m2,2021,44.726670354688885,-3343391901036329,BuildingPVConfig,DEA_DENW07AL0000vfNm,0.25,5.502600865536484,47.10034252334455,11.32,8458.778,DE.N.SFH.08.Gen.ReEx.001.003,11.16,317,1,['CHR51_Couple_over_65_years_II'],59955,Winterberg,6,BAD_MARIENBURG
41,HiSim_household_cluster_advanced_hp_pv_battery_ems,-3343391901036329_0,06Bad Marienburg,Specific solar energy gains,kWh/m2,2021,8.637870995779997,-3343391901036329,BuildingPVConfig,DEA_DENW07AL0000vfNm,0.25,5.502600865536484,47.10034252334455,11.32,8458.778,DE.N.SFH.08.Gen.ReEx.001.003,11.16,317,1,['CHR51_Couple_over_65_years_II'],59955,Winterberg,6,BAD_MARIENBURG
42,HiSim_household_cluster_advanced_hp_pv_battery_ems,-3343391901036329_0,06Bad Marienburg,Specific internal energy gains,kWh/m2,2021,18.484123896527876,-3343391901036329,BuildingPVConfig,DEA_DENW07AL0000vfNm,0.25,5.502600865536484,47.10034252334455,11.32,8458.778,DE.N.SFH.08.Gen.ReEx.001.003,11.16,317,1,['CHR51_Couple_over_65_years_II'],59955,Winterberg,6,BAD_MARIENBURG
43,HiSim_household_cluster_advanced_hp_pv_battery_ems,-3343391901036329_0,06Bad Marienburg,Specific heat demand calculated based on TABULA,kWh/m2,2021,84.76176800116136,-3343391901036329,BuildingPVConfig,DEA_DENW07AL0000vfNm,0.25,5.502600865536484,47.10034252334455,11.32,8458.778,DE.N.SFH.08.Gen.ReEx.001.003,11.16,317,1,['CHR51_Couple_over_65_years_II'],59955,Winterberg,6,BAD_MARIENBURG
44,HiSim_household_cluster_advanced_hp_pv_battery_ems,-3343391901036329_0,06Bad Marienburg,Thermal output energy of heat distribution system,kWh,2021,21179.86143445817,-3343391901036329,BuildingPVConfig,DEA_DENW07AL0000vfNm,0.25,5.502600865536484,47.10034252334455,11.32,8458.778,DE.N.SFH.08.Gen.ReEx.001.003,11.16,317,1,['CHR51_Couple_over_65_years_II'],59955,Winterberg,6,BAD_MARIENBURG
45,HiSim_household_cluster_advanced_hp_pv_battery_ems,-3343391901036329_0,06Bad Marienburg,Specific thermal output energy of heat distribution system,kWh/m2,2021,66.81344301090904,-3343391901036329,BuildingPVConfig,DEA_DENW07AL0000vfNm,0.25,5.502600865536484,47.10034252334455,11.32,8458.778,DE.N.SFH.08.Gen.ReEx.001.003,11.16,317,1,['CHR51_Couple_over_65_years_II'],59955,Winterberg,6,BAD_MARIENBURG
46,HiSim_household_cluster_advanced_hp_pv_battery_ems,-3343391901036329_0,06Bad Marienburg,Mean flow temperature of heat distribution system,°C,2021,30.74679509334544,-3343391901036329,BuildingPVConfig,DEA_DENW07AL0000vfNm,0.25,5.502600865536484,47.10034252334455,11.32,8458.778,DE.N.SFH.08.Gen.ReEx.001.003,11.16,317,1,['CHR51_Couple_over_65_years_II'],59955,Winterberg,6,BAD_MARIENBURG
47,HiSim_household_cluster_advanced_hp_pv_battery_ems,-3343391901036329_0,06Bad Marienburg,Mean return temperature of heat distribution system,°C,2021,29.23025881594209,-3343391901036329,BuildingPVConfig,DEA_DENW07AL0000vfNm,0.25,5.502600865536484,47.10034252334455,11.32,8458.778,DE.N.SFH.08.Gen.ReEx.001.003,11.16,317,1,['CHR51_Couple_over_65_years_II'],59955,Winterberg,6,BAD_MARIENBURG
48,HiSim_household_cluster_advanced_hp_pv_battery_ems,-3343391901036329_0,06Bad Marienburg,Mean temperature difference of heat distribution system,°C,2021,1.516536277403352,-3343391901036329,BuildingPVConfig,DEA_DENW07AL0000vfNm,0.25,5.502600865536484,47.10034252334455,11.32,8458.778,DE.N.SFH.08.Gen.ReEx.001.003,11.16,317,1,['CHR51_Couple_over_65_years_II'],59955,Winterberg,6,BAD_MARIENBURG
