TRY,year,type,orientation,specific yield [kWh/kWp]
5,2045,s,025-east-west_075-south,1022.4529833333332
5,2045,w,south,943.0345166666666
5,2045,w,east-west,737.9548500000001
5,2045,w,025-east-west_075-south,891.7645
6,2015,a,south,959.5831666666666
6,2015,a,east-west,741.4154833333333
6,2015,a,025-east-west_075-south,905.0261666666667
6,2015,s,south,989.8643333333333
6,2015,s,east-west,761.03535
6,2015,s,025-east-west_075-south,932.6496166666667
6,2015,w,south,1025.7209333333333
6,2015,w,east-west,792.1874666666666
6,2015,w,025-east-west_075-south,967.3238166666666
6,2045,a,south,1060.7938166666665
6,2045,a,east-west,803.4846833333334
6,2045,a,025-east-west_075-south,996.4559499999999
6,2045,s,south,1087.0494166666667
6,2045,s,east-west,822.2782
6,2045,s,025-east-west_075-south,1020.84965
6,2045,w,south,1032.0515666666665
6,2045,w,east-west,784.0451333333333
6,2045,w,025-east-west_075-south,970.0406166666667
7,2015,a,south,935.7058333333333
7,2015,a,east-west,749.4429666666666
7,2015,a,025-east-west_075-south,889.13825
7,2015,s,south,1005.3579
7,2015,s,east-west,787.8693499999999
7,2015,s,025-east-west_075-south,950.98275
7,2015,w,south,972.9424333333333
7,2015,w,east-west,774.9033333333333
7,2015,w,025-east-west_075-south,923.4325
7,2045,a,south,1028.09305
7,2045,a,east-west,803.4684833333333
7,2045,a,025-east-west_075-south,971.93495
7,2045,s,south,1007.6718166666666
7,2045,s,east-west,802.15165
7,2045,s,025-east-west_075-south,956.2889333333334
7,2045,w,south,940.5869333333333
7,2045,w,east-west,740.7131833333333
7,2045,w,025-east-west_075-south,890.6169833333332
8,2015,a,south,956.69625
8,2015,a,east-west,761.2676666666666
8,2015,a,025-east-west_075-south,907.8353999999999
8,2015,s,south,983.7112666666666
8,2015,s,east-west,770.6648999999999
8,2015,s,025-east-west_075-south,930.4438666666666
8,2015,w,south,928.4152166666667
8,2015,w,east-west,746.1592166666666
8,2015,w,025-east-west_075-south,882.85535
8,2045,a,south,991.6278000000001
8,2045,a,east-west,777.3961499999999
8,2045,a,025-east-west_075-south,938.0732
8,2045,s,south,1008.4388166666666
8,2045,s,east-west,806.7780166666666
8,2045,s,025-east-west_075-south,958.0247166666666
8,2045,w,south,902.6349999999999
8,2045,w,east-west,733.1990666666667
8,2045,w,025-east-west_075-south,860.2707833333333
9,2015,a,south,955.5518333333333
9,2015,a,east-west,754.1202999999999
9,2015,a,025-east-west_075-south,905.1907166666666
9,2015,s,south,1073.1807166666667
9,2015,s,east-west,818.8884
9,2015,s,025-east-west_075-south,1009.6085166666667
9,2015,w,south,989.9236
9,2015,w,east-west,773.3136333333333
9,2015,w,025-east-west_075-south,935.7629333333333
9,2045,a,south,1042.66445
9,2045,a,east-west,803.3828666666666
9,2045,a,025-east-west_075-south,982.8392166666666
9,2045,s,south,1098.6465166666667
9,2045,s,east-west,841.22635
9,2045,s,025-east-west_075-south,1034.2914666666668
9,2045,w,south,993.4593666666666
9,2045,w,east-west,777.9189166666666
9,2045,w,025-east-west_075-south,939.5733666666666
10,2015,a,south,984.4528333333334
10,2015,a,east-west,783.3822333333333
10,2015,a,025-east-west_075-south,934.1837333333333
10,2015,s,south,1045.5167333333334
10,2015,s,east-west,820.3974833333333
10,2015,s,025-east-west_075-south,989.2355
10,2015,w,south,969.46745
10,2015,w,east-west,773.9130333333333
10,2015,w,025-east-west_075-south,920.57795
10,2045,a,south,1047.5244166666666
10,2045,a,east-west,824.94385
10,2045,a,025-east-west_075-south,991.8766
10,2045,s,south,1018.4806
10,2045,s,east-west,805.8271000000001
10,2045,s,025-east-west_075-south,965.3118833333333
10,2045,w,south,1014.8942833333333
10,2045,w,east-west,804.3241666666665
10,2045,w,025-east-west_075-south,962.2523
11,2015,a,south,990.4858833333333
11,2015,a,east-west,791.24675
11,2015,a,025-east-west_075-south,940.6716833333332
11,2015,s,south,1097.0233
11,2015,s,east-west,843.5237
11,2015,s,025-east-west_075-south,1033.6507333333334
11,2015,w,south,1019.3177499999999
11,2015,w,east-west,797.94985
11,2015,w,025-east-west_075-south,963.9735666666666
11,2045,a,south,1028.12175
11,2045,a,east-west,805.1154333333333
11,2045,a,025-east-west_075-south,972.3684166666667
11,2045,s,south,1073.45705
11,2045,s,east-west,838.01515
11,2045,s,025-east-west_075-south,1014.5964
11,2045,w,south,992.7622833333334
11,2045,w,east-west,784.0359
11,2045,w,025-east-west_075-south,940.5749166666666
12,2015,a,south,1018.137
12,2015,a,east-west,793.6401166666666
12,2015,a,025-east-west_075-south,962.0094666666666
12,2015,s,south,1084.5054499999999
12,2015,s,east-west,844.8329333333332
12,2015,s,025-east-west_075-south,1024.5814666666668
12,2015,w,south,1034.6430666666665
12,2015,w,east-west,814.8515666666667
12,2015,w,025-east-west_075-south,979.6915
12,2045,a,south,1076.0816333333332
12,2045,a,east-west,847.3439666666666
12,2045,a,025-east-west_075-south,1018.8933166666666
12,2045,s,south,1033.6900333333333
12,2045,s,east-west,812.76755
12,2045,s,025-east-west_075-south,978.4547333333333
12,2045,w,south,1000.7818666666666
12,2045,w,east-west,790.0745666666666
12,2045,w,025-east-west_075-south,948.1010833333332
13,2015,a,south,1083.2329333333332
13,2015,a,east-west,849.2478
13,2015,a,025-east-west_075-south,1024.7368166666665
13,2015,s,south,1143.2240166666668
13,2015,s,east-west,883.3632333333333
13,2015,s,025-east-west_075-south,1078.2538833333333
13,2015,w,south,1048.63395
13,2015,w,east-west,841.6893833333332
13,2015,w,025-east-west_075-south,996.8955833333333
13,2045,a,south,1127.0179833333332
13,2045,a,east-west,890.9529
13,2045,a,025-east-west_075-south,1067.9985833333333
13,2045,s,south,1159.9526833333334
13,2045,s,east-west,910.8057833333332
13,2045,s,025-east-west_075-south,1097.6613333333332
13,2045,w,south,1089.3424833333333
13,2045,w,east-west,864.3187666666666
13,2045,w,025-east-west_075-south,1033.0825666666667
14,2015,a,south,1038.8895666666667
14,2015,a,east-west,833.1537
14,2015,a,025-east-west_075-south,987.4522499999999
14,2015,s,south,1076.8463333333334
14,2015,s,east-west,847.9176833333333
14,2015,s,025-east-west_075-south,1019.6129666666667
14,2015,w,south,1043.8219166666668
14,2015,w,east-west,826.6228333333333
14,2015,w,025-east-west_075-south,989.5176
14,2045,a,south,1077.8741666666667
14,2045,a,east-west,847.8132166666666
14,2045,a,025-east-west_075-south,1020.3564166666667
14,2045,s,south,1144.8991166666667
14,2045,s,east-west,908.9800166666666
14,2045,s,025-east-west_075-south,1085.9217
14,2045,w,south,1079.3129999999999
14,2045,w,east-west,855.00935
14,2045,w,025-east-west_075-south,1023.2358166666667
15,2015,a,south,1083.2408333333333
15,2015,a,east-west,841.2215666666666
15,2015,a,025-east-west_075-south,1022.73025
15,2015,s,south,1199.1111666666666
15,2015,s,east-west,885.4085166666666
15,2015,s,025-east-west_075-south,1120.6744999999999
15,2015,w,south,1125.7010666666665
15,2015,w,east-west,845.0770499999999
15,2015,w,025-east-west_075-south,1055.5394666666666
15,2045,a,south,1101.0061833333332
15,2045,a,east-west,854.7317166666667
15,2045,a,025-east-west_075-south,1039.4317666666666
15,2045,s,south,1165.41985
15,2045,s,east-west,901.88225
15,2045,s,025-east-west_075-south,1099.5317666666667
15,2045,w,south,1081.28935
15,2045,w,east-west,840.7502833333333
15,2045,w,025-east-west_075-south,1021.14985
